Num_of_particle,a_dd,a_s,grid_start_point,omega,size_of_grid,step_size
1000,0.00080000000000000004,0.002,-30,1,1000,0.059999999999999998

index,real,imag
0,1.4438754154871668e-49,0
1,5.6221037025531655e-49,0
2,2.0356916691146912e-48,0
3,7.2980245679761496e-48,0
4,2.6022912926917408e-47,0
5,9.232220349723968e-47,0
6,3.2588017544586302e-46,0
7,1.1444639839397694e-45,0
8,3.9987904558386703e-45,0
9,1.3900397793100484e-44,0
10,4.8071479571385612e-44,0
11,1.6538606759303287e-43,0
12,5.6604491604892219e-43,0
13,1.9272260340262997e-42,0
14,6.5272961542460538e-42,0
15,2.1990842832740728e-41,0
16,7.369655391408353e-41,0
17,2.4566198503938527e-40,0
18,8.1452194124692299e-40,0
19,2.6861491115088576e-39,0
20,8.8106560360775569e-39,0
21,2.8742552442079141e-38,0
22,9.3254410464424507e-38,0
23,3.0090419884018646e-37,0
24,9.6558305220562136e-37,0
25,3.0813503712635937e-36,0
26,9.7784490403092583e-36,0
27,3.085769852903918e-35,0
28,9.6829747127880358e-35,0
29,3.0212916618934679e-34,0
30,9.3735002953498771e-34,0
31,2.8914970705678752e-33,0
32,8.8683305018366076e-33,0
33,2.7042403583658293e-32,0
34,8.1982088608716712e-32,0
35,2.4708631983327375e-31,0
36,7.4032092240989722e-31,0
37,2.2050493122533178e-30,0
38,6.528729887383887e-30,0
39,1.9214812206189829e-29,0
40,5.6211523139679136e-29,0
41,1.6344845520792013e-28,0
42,4.7237489350646833e-28,0
43,1.356835941696586e-27,0
44,3.8733451730035115e-27,0
45,1.0988715452635748e-26,0
46,3.0980812355583608e-26,0
47,8.6797425234803514e-26,0
48,2.4164165640251543e-25,0
49,6.6845190390334609e-25,0
50,1.8373171139881548e-24,0
51,5.0175947016695916e-24,0
52,1.3614012559186397e-23,0
53,3.6697555019698852e-23,0
54,9.8271937199875615e-23,0
55,2.6142310798828447e-22,0
56,6.9081352617347636e-22,0
57,1.8132600156506988e-21,0
58,4.727389319157923e-21,0
59,1.224119911110177e-20,0
60,3.1480872756846253e-20,0
61,8.0402266506177972e-20,0
62,2.0392321207715881e-19,0
63,5.1359358158538409e-19,0
64,1.2844119862443271e-18,0
65,3.1893178043317678e-18,0
66,7.862783655974665e-18,0
67,1.9244909159077994e-17,0
68,4.676186898282258e-17,0
69,1.1279224945420565e-16,0
70,2.7005516347043753e-16,0
71,6.4177890038371668e-16,0
72,1.5137405392953965e-15,0
73,3.5434251683452768e-15,0
74,8.23138786083271e-15,0
75,1.897458916251103e-14,0
76,4.3400237198678599e-14,0
77,9.8492338799290871e-14,0
78,2.2175475543481038e-13,0
79,4.9530460650596671e-13,0
80,1.0974095994770696e-12,0
81,2.4117336341926859e-12,0
82,5.2567888015987042e-12,0
83,1.1363388654239858e-11,0
84,2.4358804387264193e-11,0
85,5.1776004388572198e-11,0
86,1.0911595063750803e-10,0
87,2.2797999148949467e-10,0
88,4.7218757108300093e-10,0
89,9.6939568247201537e-10,0
90,1.9724885463580243e-09,0
91,3.9775134937927512e-09,0
92,7.9478218313279806e-09,0
93,1.5735406469859574e-08,0
94,3.0864110398304518e-08,0
95,5.9968954524509037e-08,0
96,1.1541050897451035e-07,0
97,2.1996714933958669e-07,0
98,4.1515413936712646e-07,0
99,7.7578861742269628e-07,0
100,1.4351625990226799e-06,0
101,2.627975397752873e-06,0
102,4.7625573180905905e-06,0
103,8.5406586533646147e-06,0
104,1.5153231723282164e-05,0
105,2.6595564864191329e-05,0
106,4.6166509383663869e-05,0
107,7.924625322378239e-05,0
108,0.00013448696134817488,0
109,0.00022560187041340655,0
110,0.00037400088053154756,0
111,0.0006125912864838243,0
112,0.00099113323006061091,0
113,0.001583595690818163,0
114,0.0024979752662517515,0
115,0.003888978846519388,0
116,0.0059737806788525468,0
117,0.0090506796734868555,0
118,0.013519833604634622,0
119,0.019904272065546565,0
120,0.028868066539938689,0
121,0.041226924853861265,0
122,0.057944791318521364,0
123,0.080108722172280392,0
124,0.10887413130553013,0
125,0.14537454166325842,0
126,0.19059541744681843,0
127,0.24522118660261533,0
128,0.30947734890833389,0
129,0.38300207758841043,0
130,0.46478759467412573,0
131,0.55322387111058946,0
132,0.64625319506751944,0
133,0.74161015708755273,0
134,0.83709231079887514,0
135,0.93079721202426646,0
136,1.0212766630564769,0
137,1.1075900205096845,0
138,1.189269477260114,0
139,1.2662289012296908,0
140,1.3386509989556337,0
141,1.4068798195350931,0
142,1.4713338966700993,0
143,1.5324449155745556,0
144,1.5906199792415503,0
145,1.6462223453606961,0
146,1.6995648715642846,0
147,1.7509111683336429,0
148,1.8004807294221179,0
149,1.8484555687739586,0
150,1.8949869089426046,0
151,1.9402011852816547,0
152,1.9842050870189012,0
153,2.0270896154459321,0
154,2.0689332655682371,0
155,2.1098044828113705,0
156,2.1497635477254105,0
157,2.188864022746237,0
158,2.2271538697042463,0
159,2.264676322006602,0
160,2.3014705742844264,0
161,2.3375723355734266,0
162,2.3730142794833751,0
163,2.4078264155905926,0
164,2.4420363996773622,0
165,2.4756697957530482,0
166,2.5087502994741664,0
167,2.5412999302252288,0
168,2.5733391974344553,0
169,2.6048872454728529,0
170,2.6359619805813264,0
171,2.66658018259221,0
172,2.6967576036939427,0
173,2.7265090560860763,0
174,2.7558484900558766,0
175,2.7847890637557016,0
176,2.8133432057574019,0
177,2.8415226712944186,0
178,2.869338592966669,0
179,2.8968015265708886,0
180,2.923921492625793,0
181,2.950708014082958,0
182,2.9771701506487505,0
183,3.0033165300866691,0
184,3.029155376822267,0
185,3.0546945381325785,0
186,3.0799415081672143,0
187,3.1049034500187251,0
188,3.1295872160342131,0
189,3.1539993665380264,0
190,3.178146187116095,0
191,3.2020337045957876,0
192,3.2256677018405866,0
193,3.2490537314659571,0
194,3.2721971285718823,0
195,3.2951030225772646,0
196,3.317776348233084,0
197,3.3402218558832248,0
198,3.3624441210353377,0
199,3.3844475532978731,0
200,3.4062364047341394,0
201,3.4278147776794792,0
202,3.4491866320633506,0
203,3.4703557922743014,0
204,3.4913259536024386,0
205,3.5121006882908192,0
206,3.5326834512246785,0
207,3.5530775852846039,0
208,3.5732863263877963,0
209,3.5933128082394603,0
210,3.6131600668144381,0
211,3.6328310445877756,0
212,3.6523285945311392,0
213,3.6716554838908988,0
214,3.6908143977622845,0
215,3.709807942472978,0
216,3.7286386487884657,0
217,3.7473089749505193,0
218,3.7658213095593385,0
219,3.7841779743091695,0
220,3.8023812265863293,0
221,3.8204332619381569,0
222,3.8383362164205383,0
223,3.8560921688313368,0
224,3.8737031428364932,0
225,3.8911711089948806,0
226,3.9084979866879799,0
227,3.9256856459596619,0
228,3.9427359092712004,0
229,3.9596505531762807,0
230,3.9764313099203337,0
231,3.9930798689685241,0
232,4.0095978784660584,0
233,4.0259869466346121,0
234,4.0422486431081213,0
235,4.0583845002112779,0
236,4.0743960141836268,0
237,4.0902846463520985,0
238,4.1060518242545774,0
239,4.121698942717078,0
240,4.1372273648867779,0
241,4.1526384232231139,0
242,4.1679334204490157,0
243,4.1831136304642689,0
244,4.1981802992227735,0
245,4.2131346455754644,0
246,4.2279778620805004,0
247,4.2427111157823205,0
248,4.2573355489609721,0
249,4.271852279853074,0
250,4.2862624033458054,0
251,4.300566991645014,0
252,4.3147670949187962,0
253,4.328863741917405,0
254,4.3428579405707932,0
255,4.3567506785645884,0
256,4.3705429238955436,0
257,4.3842356254073014,0
258,4.3978297133073418,0
259,4.4113260996659491,0
260,4.4247256788978699,0
261,4.4380293282274597,0
262,4.4512379081380287,0
263,4.4643522628059662,0
264,4.4773732205203025,0
265,4.4903015940882964,0
266,4.5031381812276772,0
267,4.5158837649459596,0
268,4.5285391139074305,0
269,4.5411049827882568,0
270,4.5535821126202602,0
271,4.5659712311236396,0
272,4.5782730530292337,0
273,4.5904882803906535,0
274,4.6026176028866344,0
275,4.6146616981140962,0
276,4.6266212318720887,0
277,4.6384968584371551,0
278,4.6502892208302811,0
279,4.6619989510757867,0
280,4.67362667045251,0
281,4.6851729897374916,0
282,4.6966385094424243,0
283,4.7080238200432536,0
